Rumsey Gage allocation thresholds,,,
Branch,Full Allocation (ft),Partial Allocation 1 (ft),Partial Allocation 2 (ft)
Oct-23,7.56,3.22,5.7
Nov-23,7.56,3.22,5.7
Dec-23,7.56,3.22,5.7
Jan-24,7.56,3.22,5.7
Feb-24,7.56,3.22,5.7
Mar-24,7.56,3.22,5.7
Apr-24,7.56,3.22,5.7
May-24,7.56,3.22,5.7
Jun-24,7.56,3.22,5.7
Jul-24,7.56,3.22,5.7
Aug-24,7.56,3.22,5.7
Sep-24,7.56,3.22,5.7
Oct-24,7.56,3.22,5.7
Nov-24,7.56,3.22,5.7
Dec-24,7.56,3.22,5.7
Jan-25,7.56,3.22,5.7
Feb-25,7.56,3.22,5.7
Mar-25,7.56,3.22,5.7
Apr-25,7.56,3.22,5.7
May-25,7.56,3.22,5.7
Jun-25,7.56,3.22,5.7
Jul-25,7.56,3.22,5.7
Aug-25,7.56,3.22,5.7
Sep-25,7.56,3.22,5.7
Oct-25,7.56,3.22,5.7
Nov-25,7.56,3.22,5.7
Dec-25,7.56,3.22,5.7
Jan-26,7.56,3.22,5.7
Feb-26,7.56,3.22,5.7
Mar-26,7.56,3.22,5.7
Apr-26,7.56,3.22,5.7
May-26,7.56,3.22,5.7
Jun-26,7.56,3.22,5.7
Jul-26,7.56,3.22,5.7
Aug-26,7.56,3.22,5.7
Sep-26,7.56,3.22,5.7
